FIPS,Geography,counts,UPB
19001,"ADAIR County ,IA",2,85504.06
19003,"ADAMS County ,IA",1,61876.83
38001,"ADAMS County ,ND",6,723195.69
06001,"ALAMEDA County ,CA",6369,2288437760.20
37003,"ALEXANDER County ,NC",223,32983425.99
26003,"ALGER County ,MI",4,502714.67
37005,"ALLEGHANY County ,NC",18,2489229.89
51005,"ALLEGHANY County ,VA",31,2691751.79
42003,"ALLEGHENY County ,PA",8871,1258844538.74
47001,"ANDERSON County ,TN",477,58909002.19
29003,"ANDREW County ,MO",28,3240809.14
23001,"ANDROSCOGGIN County ,ME",419,56930682.20
13001,"APPLING County ,GA",33,3579494.85
48007,"ARANSAS County ,TX",162,23674026.72
08007,"ARCHULETA County ,CO",112,24252764.76
37009,"ASHE County ,NC",166,20668757.97
05003,"ASHLEY County ,AR",74,4964799.88
29005,"ATCHISON County ,MO",11,755199.86
48017,"BAILEY County ,TX",8,511879.26
13007,"BAKER County ,GA",1,49248.30
41001,"BAKER County ,OR",368,49337684.36
24510,"BALTIMORE CITY County ,MD",3560,612887365.38
12005,"BAY County ,FL",1467,255470067.37
40009,"BECKHAM County ,OK",35,4541678.26
08011,"BENT County ,CO",12,572755.62
05007,"BENTON County ,AR",620,75306806.62
35001,"BERNALILLO County ,NM",3461,533948918.08
13019,"BERRIEN County ,GA",47,6090141.33
13021,"BIBB County ,GA",506,60257127.62
56003,"BIG HORN County ,WY",18,2253338.07
30005,"BLAINE County ,MT",5,381739.54
42013,"BLAIR County ,PA",313,33435339.12
28011,"BOLIVAR County ,MS",89,12310521.37
05009,"BOONE County ,AR",68,6538466.66
29019,"BOONE County ,MO",1631,214257007.05
08013,"BOULDER County ,CO",1111,293853016.94
16021,"BOUNDARY County ,ID",33,5255097.21
31013,"BOX BUTTE County ,NE",26,2571736.04
26023,"BRANCH County ,MI",27,2428829.09
13025,"BRANTLEY County ,GA",36,3984366.63
21025,"BREATHITT County ,KY",120,17990122.08
30007,"BROADWATER County ,MT",9,1341646.97
48047,"BROOKS County ,TX",4,297630.54
08014,"BROOMFIELD County ,CO",604,155043616.14
20013,"BROWN County ,KS",16,986350.21
40013,"BRYAN County ,OK",77,7966737.94
37023,"BURKE County ,NC",484,55042702.29
48053,"BURNET County ,TX",354,58127831.78
55013,"BURNETT County ,WI",113,13534854.27
40015,"CADDO County ,OK",84,7377380.75
06009,"CALAVERAS County ,CA",699,136164842.91
37027,"CALDWELL County ,NC",1562,167506921.21
50005,"CALEDONIA County ,VT",50,8769599.73
12013,"CALHOUN County ,FL",11,1063833.21
45017,"CALHOUN County ,SC",30,4169974.35
48059,"CALLAHAN County ,TX",25,2574616.51
29027,"CALLAWAY County ,MO",252,28192099.69
13039,"CAMDEN County ,GA",198,27906729.60
